id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10905342,Home in New Orleans · ★4.92 · 3 bedrooms · 3 beds · 2 baths,22681656,Harry,,East Carrollton,29.94696,-90.12701,Entire home/apt,239,3,171,2023-11-25,1.81,1,0,31,"19STR-70291, 19-OSTR-2649"
10905586,Rental unit in New Orleans · ★4.63 · 1 bedroom · 1 bed · 1 bath,19929464,Jenny,,Treme - Lafitte,29.97104,-90.07139,Entire home/apt,118,2,113,2020-03-17,1.19,2,0,0,"19STR-16639, 20-OSTR-00185"
10947222,Guest suite in New Orleans · ★4.80 · 1 bedroom · 1 bed · 1 bath,53372927,Maxie And Lydia,,Bayou St. John,29.98213,-90.08827,Entire home/apt,76,2,177,2023-11-22,1.91,6,118,38,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
10966938,Home in New Orleans · ★5.0 · 4 bedrooms · 3 beds · 2 baths,48528732,Socea & Brian,,Mid-City,29.97506,-90.1081,Entire home/apt,650,30,3,2016-10-31,0.03,1,0,0,
10970105,Home in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 private bath,4645353,Beverly,,Bywater,29.96368,-90.04629,Private room,71,1,214,2020-03-14,2.25,3,0,0,CNO STR Residential License: #21-RSTR-00144  CNO STR Operator License: #20-OSTR-00401
10970182,Rental unit in New Orleans · ★4.75 · 2 bedrooms · 2 beds · 1 bath,55205187,Peter,,Irish Channel,29.92417,-90.08014,Entire home/apt,117,30,4,2017-01-01,0.05,1,0,0,
10991685,Guest suite in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 bath,8162586,Kris,,Milan,29.93067,-90.09478,Entire home/apt,80,2,151,2023-11-07,1.59,1,86,12,"19STR-04291, 20-OSTR-26525"
10994423,Home in New Orleans · ★4.62 · 3 bedrooms · 4 beds · 1 bath,52985437,Keitris,,Central City,29.92999,-90.09039,Entire home/apt,75,30,76,2023-02-28,0.81,1,277,1,
10999961,Home in New Orleans · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,57072076,Griffin,,Fillmore,30.01952,-90.07958,Shared room,50,30,6,2017-03-18,0.06,2,0,0,
11017919,Home in New Orleans · 2 bedrooms · 2 beds · 1 bath,57072076,Griffin,,Lake Terrace & Oaks,30.02112,-90.08041,Entire home/apt,400,30,0,,,2,0,0,
11041712,Rental unit in New Orleans · ★4.83 · 2 bedrooms · 2 beds · 1 bath,9632192,Susan,,Marigny,29.964490294489096,-90.06065907929538,Entire home/apt,206,2,78,2023-11-13,0.83,6,104,14,"23STR-01409, 23-OSTR-00771"
11042436,Home in New Orleans · ★4.85 · 2 bedrooms · 3 beds · 1 shared bath,55964077,Graham,,Treme - Lafitte,29.97037,-90.08041,Private room,108,30,52,2018-02-13,0.55,4,0,0,
11066156,Home in New Orleans · ★4.67 · 3 bedrooms · 4 beds · 2.5 baths,57438654,Cynthia,,Central City,29.93694,-90.08268,Entire home/apt,190,3,9,2020-03-16,0.18,1,0,0,RSTR 70245 OSTR 0244
11068767,Home in New Orleans · ★4.76 · 1 bedroom · 1 bed · 1 bath,57456110,Ruveyda,,Fairgrounds,29.97817,-90.07783,Entire home/apt,125,30,211,2023-03-19,2.24,1,179,2,"19STR-20146, 20-OSTR-1144"
